timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1623600448279,6323,Home Page,200,OK,Jakarta Users 1-1,text,true,,9453,0,1,1,http://jakarta.apache.org/,2407,0,0
1623600454623,8517,News Page,200,OK,Jakarta Users 1-1,text,true,,69381,0,1,1,http://jakarta.apache.org/site/news/index.html,1597,0,0
1623600454623,1597,News Page-0,301,Moved Permanently,Jakarta Users 1-1,text,true,,484,0,1,1,http://jakarta.apache.org/site/news.html,1597,0,0
1623600456223,6917,News Page-1,200,OK,Jakarta Users 1-1,text,true,,68897,0,1,1,http://jakarta.apache.org/site/news/index.html,3157,0,0
1623600463144,8281,News Page,200,OK,Jakarta Users 1-1,text,true,,69381,0,1,1,http://jakarta.apache.org/site/news/index.html,603,0,0
1623600463144,604,News Page-0,301,Moved Permanently,Jakarta Users 1-1,text,true,,484,0,1,1,http://jakarta.apache.org/site/news.html,603,0,0
1623600463749,7676,News Page-1,200,OK,Jakarta Users 1-1,text,true,,68897,0,1,1,http://jakarta.apache.org/site/news/index.html,1695,0,0
1623600471427,12076,News Page,200,OK,Jakarta Users 1-1,text,true,,69381,0,1,1,http://jakarta.apache.org/site/news/index.html,2788,0,0
1623600471427,2788,News Page-0,301,Moved Permanently,Jakarta Users 1-1,text,true,,484,0,1,1,http://jakarta.apache.org/site/news.html,2788,0,0
1623600474215,9288,News Page-1,200,OK,Jakarta Users 1-1,text,true,,68897,0,1,1,http://jakarta.apache.org/site/news/index.html,2804,0,0
1623600483507,7775,News Page,200,OK,Jakarta Users 1-1,text,true,,69381,0,1,1,http://jakarta.apache.org/site/news/index.html,1777,0,0
1623600483507,1778,News Page-0,301,Moved Permanently,Jakarta Users 1-1,text,true,,484,0,1,1,http://jakarta.apache.org/site/news.html,1777,0,0
1623600485285,5997,News Page-1,200,OK,Jakarta Users 1-1,text,true,,68897,0,1,1,http://jakarta.apache.org/site/news/index.html,1878,0,0
1623600491286,7734,News Page,200,OK,Jakarta Users 1-1,text,true,,69381,0,1,1,http://jakarta.apache.org/site/news/index.html,2111,0,0
1623600491286,2111,News Page-0,301,Moved Permanently,Jakarta Users 1-1,text,true,,484,0,1,1,http://jakarta.apache.org/site/news.html,2111,0,0
1623600493396,5624,News Page-1,200,OK,Jakarta Users 1-1,text,true,,68897,0,1,1,http://jakarta.apache.org/site/news/index.html,1797,0,0
